,domain,availability
94,.kddi,"HTTPConnectionPool(host='www.example.kddi', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8238C88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
95,.ax,"HTTPConnectionPool(host='www.example.ax', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8242470>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
96,.cy,"HTTPConnectionPool(host='www.example.cy', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8242C18>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
97,.property,"HTTPConnectionPool(host='www.example.property', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C8254400>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
98,.vg,True
99,.circle,"HTTPConnectionPool(host='www.example.circle', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80C2AC8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
100,.stada,"HTTPConnectionPool(host='www.example.stada', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C80D0320>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
101,.nf,"HTTPConnectionPool(host='www.example.nf', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C825F1D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
102,.vegas,"HTTPConnectionPool(host='www.example.vegas', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000189C825F978>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed'))"
103,.tw,True
